Symbol,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Win Rate
NSEI,22.54%,40.70%,6.49,0.00%,26.00%
BSESN,19.74%,35.34%,6.08,0.00%,22.67%
NSEBANK,15.53%,33.16%,5.64,0.00%,20.47%
CNXIT,37.12%,87.08%,6.78,0.00%,29.13%
CNXPHARMA,31.44%,58.30%,7.45,0.00%,25.33%
CNXAUTO,26.24%,58.79%,6.66,0.00%,23.62%
RELIANCE_NS,63.77%,86.18%,6.72,0.00%,26.00%
TCS_NS,47.41%,63.06%,5.46,0.00%,21.00%
HDFCBANK_NS,52.12%,69.65%,6.54,0.00%,23.50%
INFY_NS,54.44%,72.92%,6.01,0.00%,24.00%
HINDUNILVR_NS,51.94%,69.39%,6.24,0.00%,21.50%
ICICIBANK_NS,69.46%,94.36%,6.69,0.00%,30.50%
SBIN_NS,62.47%,84.32%,5.64,0.00%,22.00%
BAJFINANCE_NS,86.62%,119.48%,6.07,0.00%,24.50%
BHARTIARTL_NS,72.94%,99.41%,6.85,0.00%,27.00%
KOTAKBANK_NS,57.31%,76.97%,6.01,0.00%,24.00%
WIPRO_NS,61.84%,83.43%,5.09,0.00%,21.00%
AXISBANK_NS,61.86%,83.44%,6.08,0.00%,23.50%
MARUTI_NS,69.07%,93.80%,5.61,0.00%,23.50%
SUNPHARMA_NS,56.50%,75.82%,6.53,0.00%,24.50%
TATAMOTORS_NS,67.74%,91.89%,5.52,0.00%,18.00%
